"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"206780","0","CHARITY OF JOHN MARSHALL","MARSHALLS CHARITY, 66 NEWCOMEN STREET, LONDON","SE1 1YT","Bermondsey and Old Southwark","02074072979","grantoffice@marshalls.org.uk","www.marshalls.org.uk","31/12/2024","1438335","1509983","Registered","Other","Makes Grants To Organisations","Education/training, Religious Activities","Other Charities Or Voluntary Bodies","a)	to support as Patrons the parish church of Christ Church, Southwark;b)	to make grants for the support of parsonages to dioceses of the Church of England and the Church in Wales;  c)	to make restoration and repair grants to Anglican churches in the three counties of Kent, Surrey and Lincolnshire; andd)	4% of the net income is made available to Marshall's Educational Foundation","FOR ECCLESIASTICAL PURPOSES (CHURCH OF ENGLAND AND CHURCH OF WALES) INCLUDING THE SUPPORT OF POOR LIVINGS. GRANTS TO NEW CHURCHES THROUGHOUT ENGLAND AND WALES AND FOR THE REPAIR RESTORATION OR IMPROVEMENT OF CERTAIN EXISTING CHURCHES IN COUNTIES OF KENT, SURREY OR LINCOLN. ANNUAL SUMS TO THE LECTURER OR PREACHER, THE ORGANIST AND SEXTON OF A CHURCH IN STAMFORD. ANNUAL GRANTS FOR THE BENEFIT OF THE PARISH CHURCH OF CHRISTCHURCH, SOUTHWARK, THE RELIGIOUS AND OTHER CHARITABLE WORK CONNECTED THEREWITH. (FOR DETAILS SEE GOVERNING INSTRUMENTS)."
"207043","0","THE ROYAL SOCIETY OF LONDON FOR IMPROVING NATURAL KNOWLEDGE (COMMONLY KNOWN AS THE ROYAL SOCIETY)","6-9 CARLTON HOUSE TERRACE, LONDON","SW1Y 5AG","Cities of London and Westminster","+44 207 451 2500","info@royalsociety.org","www.royalsociety.org","31/03/2024","396290000","145955000","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The Royal Society has three roles: A learned society; The UK's Academy of Science; And as a funding agency. We- Promote science and its benefits- Recognise excellence in science- Support outstanding science- Provide scientific advice for policy- Foster international and global cooperation- Provide education and public engagement","FOR THE IMPROVEMENT OF NATURAL KNOWLEDGE"
"207471","0","COUNCIL FOR AT-RISK ACADEMICS","Council for at Risk Academics, South Bank Technopark, 90 London Road, LONDON","SE1 6LN","Bermondsey and Old Southwark","02070210882","info@cara.ngo","www.cara.ngo","31/12/2023","12464333","12246666","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Prevention Or Relief Of Poverty, Human Rights/religious Or Racial Harmony/equality Or Diversity","Other Defined Groups","To assist academics who are subject to or at risk of discrimination, persecution, suffering or violence, to relieve needs among them and their dependants so that their abilities can continue to be used for the public benefit; to support academics and their institutions in countries where their work is at risk or compromised, to ensure that they can continue to fulfil their role as educators.","2.1 TO ASSIST ACADEMICS, WHO HAVE BEEN, OR ARE, OR ARE AT RISK OF BEING, SUBJECT TO DISCRIMINATION, PERSECUTION, SUFFERING OR VIOLENCE ON ACCOUNT OF RACE, RELIGION, NATIONALITY, MEMBERSHIP OF A PARTICULAR SOCIAL GROUP, OR POLITICAL OPINION, TO RELIEVE NEEDS AMONG THEM AND THEIR DEPENDANTS AND ENSURE THAT THEIR SPECIALIST KNOWLEDGE AND ABILITIES CAN CONTINUE TO BE USED FOR THE BENEFIT OF THE PUBLIC;
2.2 TO ADVANCE EDUCATION BY SUPPORTING ACADEMICS AND THEIR EDUCATIONAL INSTITUTIONS IN COUNTRIES WHERE THEIR CONTINUING WORK IS AT RISK OR COMPROMISED, TO ENSURE THAT SUCH ACADEMICS AND INSTITUTIONS CAN CONTINUE TO FULFIL THEIR CRITICAL ROLE AS EDUCATORS FOR THE PUBLIC BENEFIT."
"207499","0","CRIPPLEGATE FOUNDATION","13 ELLIOTT'S PLACE, LONDON","N1 8HX","Islington South and Finsbury","02072886940","office@cripplegate.org.uk","www.cripplegate.org","31/12/2024","2851437","3102589","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space, Sponsors Or Undertakes Research","General Charitable Purposes, The Prevention Or Relief Of Poverty","The General Public/mankind","Cripplegate Foundation is a grant-giving trust which aims to improve the quality of life of people who live or work in our area of benefit which is the borough of Islington and parts of the City of London.  It is a proactive funder, whose work addresses poverty and inequality. Our grants improve access to opportunities and promote social cohesion.","1) TO PROVIDE OR ASSIST IN PROVIDING FOR PERSONS RESIDENT OR EMPLOYED IN THE AREA OF BENEFIT FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION IN THE INTERESTS OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THOSE PERSONS.
2) THE RELIEF OF PERSONS RESIDENT IN THE AREA OF BENEFIT AND, IN EXCEPTIONAL CIRCUMSTANCES, PERSONS RESIDENT OUTSIDE THE AREA OF BENEFIT OR ONLY TEMPORARILY RESIDENT IN THE AREA OF BENEFIT, WHO ARE IN NEED, HARDSHIP OR DISTRESS.
3) TO PROMOTE SUCH CHARITABLE PURPOSES FOR THE GENERAL BENEFIT OF THE INHABITANTS OF THE AREA OF BENEFIT AS THE TRUSTEE THINKS FIT."
"207610","0","THE GRAND LODGE OF MARK MASTER MASONS' FUND OF BENEVOLENCE","MARK MASONS HALL, 86 ST. JAMES'S STREET, LONDON","SW1A 1PL","Cities of London and Westminster","02077471166","g.newell@mmh.org.uk","www.markmasonshall.org","31/08/2024","1877346","1989795","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty","Elderly/old People, Other Defined Groups","Grants to individuals and Charitable Organisation","3.1 SUCH EXCLUSIVELY CHARITABLE PURPOSES AS MAY BE DETERMINED FROM TIME TO TIME BY THE TRUSTEES, WHO IN REACHING THAT DETERMINATION SHALL SEEK AND CONSIDER THE VIEWS OF THE GRAND LODGE.

3.2 THE RELIEF OF NEED, HARDSHIP AND DISTRESS AMONG MARK MASTER MASONS, THEIR FAMILIES OR OTHER DEPENDANT, AND/OR AMONGST RETIRED EMPLOYEES OF THE GRAND LODGE IN SUCH MANNER AS THEY SHALL FROM TIME TO TIME DETERMINE."
"207736","0","GOVERNORS OF THE CHARITY FOR RELIEF OF THE POOR WIDOWS AND CHILDREN OF CLERGYMEN (COMMONLY CALLED CLERGY SUPPORT TRUST)","1 DEAN TRENCH STREET, WESTMINSTER","SW1P 3HB","Cities of London and Westminster","020 7799 3696","help@clergysupport.org.uk","www.clergysupport.org.uk","31/12/2023","4641398","8543210","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty","Other Defined Groups","Clergy Support Trust, formerly Sons & Friends of the Clergy, is a clergy support charity established in 1655. Our mission is to support Anglican clergy families through difficult times, whether caused by financial hardship, health problems or other difficulties. We do this mainly through cash grants to individual beneficiaries and through working with other clergy wellbeing organisations.","THE OBJECT OF THE CHARITY IS:

FOR THE PUBLIC BENEFIT PROVIDING ASSISTANCE TO BENEFICIARIES, WHETHER DIRECTLY OR INDIRECTLY, IN SUCH MANNER AS AND BY SUCH MEANS AS THE COURT OF ASSISTANTS FROM TIME TO TIME IN THEIR ABSOLUTE DISCRETION THINK FIT FOR THE RELIEF OR PREVENTION OF POVERTY OR HARDSHIP OR FOR THE RELIEF OF ILLNESS AND THE PROMOTION OF HEALTH, WHETHER PHYSICAL OR MENTAL.

""BENEFICIARIES"" MEANS MEMBERS OF THE CLERGY, ORDINANDS AND THE SPOUSES, FORMER SPOUSES, CHILDREN AND DEPENDANTS OF LIVING OR DECEASED MEMBERS OR FORMER MEMBERS OF THE CLERGY OR OF ORDINANDS.

(A) 	""CHILDREN"" INCLUDES ADOPTED CHILDREN, STEP-CHILDREN AND PERSONS TREATED AS THE CHILDREN OF A MARRIAGE OR CIVIL PARTNERSHIP.

(B)	“CIVIL PARTNERS” MEANS THE MEMBERS OF A CIVIL PARTNERSHIP WITHIN THE MEANING OF SECTION 1(1) OF THE CIVIL PARTNERSHIP ACT 2004.

(C)     ""CLERGY"" AND ""MEMBERS OF THE CLERGY"" MEAN BISHOPS, PRIESTS AND DEACONS OF THE ANGLICAN COMMUNION.

(D) 	""ORDINANDS"" MEANS PERSONS WHO ARE PREPARING FOR ORDINATION AS MEMBERS OF THE CLERGY.

(E) 	THE ""SPOUSE"" OF A PERSON MEANS HIS OR HER WIFE, HUSBAND, CIVIL PARTNER, WIDOW, WIDOWER OR SURVIVING CIVIL PARTNER."
"208491","0","SIR HALLEY STEWART TRUST","The Trust Partnership Ltd, 6 Trull Farm Buildings, Trull, TETBURY","GL8 8SQ","South Cotswolds","02081440375","email@sirhalleystewart.org.uk","www.sirhalleystewart.org.uk","31/03/2024","1245829","1645505","Registered","Other","Makes Grants To Organisations, Sponsors Or Undertakes Research","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Disability, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","The Trust aims to promote and assist innovative research activities or pioneering developments (within certain priority areas) with a view to making such work self-supporting. It emphasises prevention rather than alleviation of human suffering.Full details of current funding priorities can be found on the Trust's website : www.sirhalleystewart.org.uk","TO ADVANCE RELIGION. TO ADVANCE EDUCATION. TO RELIEVE POVERTY. TO PROMOTE OTHER CHARITABLE PURPOSES BENEFICIAL TO THE COMMUNITY."
"208701","0","ACTION MEDICAL RESEARCH","Action Medical Research, 5th Floor, 167-169 Great Portland Street, London","W1W 5PF","Cities of London and Westminster","01403210406","info@action.org.uk","www.action.org.uk","31/12/2024","8180759","8633019","Registered","Charitable company","Makes Grants To Organisations, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, People With Disabilities, The General Public/mankind","Action Medical Research is a charity whose objects are to promote medical research into the prevention, management and cure of disabling diseases and conditions. We are a UK-wide charity saving and changing children's lives through medical research. We fund a broad range of cutting-edge medical research most likely to deliver real benefit to babies, children and young people.","TO PROMOTE, ENCOURAGE, MAINTAIN, IMPROVE AND ADVANCE RESEARCH INTO THE PREVENTION, CURE, MANAGEMENT AND ALLEVIATION OF DISABLING DISEASES AND CONDITIONS PROVIDED THAT THE USEFUL RESULTS OF SUCH RESEARCH SHALL BE DISSEMINATED FOR THE PUBLIC BENEFIT."
"208882","0","THE PRINTING CHARITY","Fourth Floor, The Pinnacle, Station Way, Crawley","RH10 1JH","Crawley","01293649360","info@theprintingcharity.org.uk","www.theprintingcharity.org.uk","31/12/2024","1239618","3347898","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","We have been supporting people who work or have worked in printing, packaging and publishing since 1827.  Our charitable aims include promoting independence, protecting dignity and furthering skills. We meet our aims through providing financial, emotional and practical support, including a free 24/7 helpline, and working with industry partners to champion the sector's emerging talent.","(A) THE RELIEF OF AGED OR POOR AND DISTRESSED PERSONS BEING PERSONS WHO ARE OR WERE EITHER PRINTERS OR OTHER PERSONS EMPLOYED OR FORMERLY EMPLOYED IN THE PRINTING TRADE OR ANY ALLIED TRADE. (B) THE RELIEF OF THE WIDOWS AND CHILDREN OF ELIGIBLE PERSONS DECEASED, SUCH WIDOWS OR CHILDREN BEING THEMSELVES AGED OR IN DISTRESS AND IN NEED OF RELIEF. (C) THE EDUCATION OF THE CHILDREN OF ELIGIBLE PERSONS. (FOR FURTHER DETAILS SEE SUPPLEMENTARY CHARTER OF 23RD OCTOBER 1972)."
"209015","0","THE SOCIETY FOR THE PROTECTION OF ANIMALS ABROAD","SPANA, 55 Ludgate Hill, 2nd floor, London","EC4M 7JW","Cities of London and Westminster","02078313999","enquiries@spana.org","www.spana.org","31/12/2023","9555721","8230462","Registered","Charitable company","Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Animals, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, Other Charities Or Voluntary Bodies, Other Defined Groups","To prevent unnecessary suffering to animals and neglect of their bodily needs by all lawful means and, in particular, by:
1. Providing treatment in hospitals and otherwise for sick and injured animals
2. Encouraging and promoting education in the humane treatment of animals any relevant environmental issues
3. Assisting in the enforcement of such laws as may from time to time be applicable","The objects of the Charity are for the benefit of the public to prevent unnecessary suffering to working animals and neglect of their needs by lawful means and in particular but without prejudice to the generality of the foregoing by:
1.1	Providing veterinary treatment for sick or injured animals and preventative care such as vaccination;
1.2	Encouraging, promoting and providing education in the treatment, care, attitudes to and humane management of animals and any environmental issues;
1.3	Providing emergency response care for animals, both working and those upon which communities rely, in times of crisis and to take prior steps to prevent such animals being at risk in times of crisis."
"209174","0","NATIONAL ART COLLECTIONS FUND","2 Granary Square, King's Cross, LONDON","N1C 4BH","Holborn and St Pancras","02072254800","info@artfund.org","www.artfund.org","31/12/2023","16336000","19402000","Registered","Other","Makes Grants To Organisations","Arts/culture/heritage/science","Other Defined Groups","The Art Fund enriches museums and galleries throughout the UK with works of art of all kinds; campaigns for the widest possible access to art; and promotes the enjoyment of art through its membership scheme.","TO SECURE BY PURCHASE, GIFT, EXCHANGE, BEQUEST OR OTHERWISE WORKS OF ART, AND OBJECTS OF NATIONAL AND HISTORICAL IMPORTANCE FOR PRESENTATION OR LOAN TO PUBLIC ART COLLECTIONS IN OUR UNITED KINGDOM AND THE COMMONWEALTH AND TO THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY AND THE NATIONAL TRUST FOR SCOTLAND FOR PUBLIC EXHIBITION SUCH PRESENTATION OR LOAN TO BE MADE SUBJECT TO SUCH CONDITIONS AND TERMS AS ARE REQUIRED."
"209259","0","VARIETY THE CHILDREN'S CHARITY","VARIETY, THE CHILDREN'S CHARITY, VARIETY HOUSE, 93 BAYHAM STREET, LONDON","","","02074288100","info@variety.org.uk","www.variety.org.uk","31/12/2023","5546756","5898442","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Disability","Children/young People, People With Disabilities","(1)	promote and provide for the care and upbringing of sick, disabled and disadvantaged children within the UK(2)	advancement of education and the relief of financial need of children within the UK(3)	provision of facilities for recreation and leisure time occupation for children in the interests of their social welfare with the object of improving the conditions of life for such children","1. TO PROMOTE AND PROVIDE FOR THE CARE AND UPBRINGING OF SICK, DISABLED AND DISADVANTAGED CHILDREN WITHIN THE UNITED KINGDOM; 2. THE ADVANCEMENT OF EDUCATION AND THE RELIEF OF FINANCIAL NEED OF CHILDREN WITHIN THE UNITED KINGDOM; 3. TO UNDERTAKE AND TO ASSIST OTHERS TO UNDERTAKE RESEARCH INTO ANY ILLNESS OR AFFLICTION AFFECTING CHILDREN WHICH WILL ADVANCE KNOWLEDGE AND TO PUBLISH THE USEFUL RESULTS OF SUCH RESEARCH; 4. THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION FOR CHILDREN IN THE INTERESTS OF THEIR SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR SUCH CHILDREN"
