"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"206271","0","THE LISTER INSTITUTE OF PREVENTIVE MEDICINE","PO Box 2502, WATFORD","WD18 1AE","Watford","0203 5325345","secretary@lister-institute.org.uk","http://www.lister-institute.org.uk","31/12/2023","679000","2007000","Registered","Charitable company","Makes Grants To Organisations, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives","Other Defined Groups, The General Public/mankind","The charitable objectives of the Institute are to further understanding and progress in preventive medicine by promoting biomedical excellence in the UK and the Republic of Ireland through its support of the biological sciences and to ensure long-term public benefit through publication of the knowledge gained and, where appropriate, by encouraging its exploitation.","TO SUPPORT AND PROMOTE FOR THE PUBLIC BENEFIT SCIENTIFIC RESEARCH INTO AND STUDY OF THE CAUSES, PREVENTION AND TREATMENT OF DISEASE IN MAN AND ANIMALS, THE STUDY OF BIOLOGY IN ANY FORM, OR ANY OTHER SCIENCE IN ITS RELATION TO THE HEALTH OF MAN OR ANIMALS, THE STUDY OF ANY AGENCY OR DISCOVERY AFFECTING OR LIKELY TO AFFECT HUMAN HEALTH, THE STUDY OF THE COMPOSITION, PROPERTIES AND POWERS OF ANY ARTICLE OF FOOD OR DRINK, OR MEDICINE, THE STUDY OF AIR, WATER, ANIMALS, VEGETABLES, MINERALS, CHEMICAL SUBSTANCES AND OTHER ENVIRONMENTAL AGENTS IN THEIR POSSIBLE RELATION TO HUMAN HEALTH;

TO PROVIDE FOR THE PUBLIC BENEFIT INSTRUCTION AND EDUCATION IN PREVENTIVE MEDICINE TO HUMAN AND ANIMAL HEALTH PROFESSIONALS, STUDENTS AND OTHERS;"
"206476","0","CHARLES S FRENCH CHARITABLE TRUST","Charles S French Charitable Trust, PO Box 5052, Hornchurch","","","07936 802044","trustmanager@csfct.org.uk","www.csfct.org.uk","31/03/2024","661976","695030","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Environment/conservation/heritage, Economic/community Development/employment, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","The Charles S. French Charitable Trust is a charitable trust establised by trust deed on 1 September 1959 by Charles S. French for the promotion and advancement of primarily local charities in Essex and NE London at the discretion of the trustees.","DONATIONS TO SUCH CHARITABLE BODIES, ASSOCIATIONS AND TRUSTS IN SUCH MANNER IN ALL RESPECTS AS THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION THINK FIT."
"206926","0","THE CHARLES SYKES TRUST ALSO KNOWN AS THE CHARLES AND ELSIE SYKES TRUST","LCF Law Limited, First Floor, The Exchange, HARROGATE","HG1 1TS","Harrogate and Knaresborough","01423 502211","n.shaw@lcf.co.uk","www.charlesandelsiesykestrust.co.uk","31/12/2023","646406","538339","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Other Charities Or Voluntary Bodies","The grant-making Trust provides assistance to a broad cross section of registered charities.","FOR SUCH CHARITIES AND SUCH PERSONS BEING BY REASON OF POVERTY IN THE OPINION OF THE TRUSTEES IN NEED OF CHARITABLE RELIEF AS THE TRUSTEES SHALL IN THEIR ABSOLUTE DISCRETION SELECT."
"206957","0","THE VALLADOLID TRUST FUND","48 Dale Road, PURLEY","CR8 2EF","Croydon South","02086603815","francismurphy@rcaos.org.uk","","30/09/2024","719983","310896","Registered","Other","Makes Grants To Organisations","Education/training, Religious Activities, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Other Defined Groups","Education of students for the Roman Catholic Priesthood","EDUCATION OF STUDENTS FOR ROMAN CATHOLIC PRIESTHOOD. UPKEEP OF THE ENGLISH COLLEGE AT VALLADOID SPAIN. (FOR DETAILS SEE CLAUSE 3 OF TRUST DEED)."
"207031","0","JCA CHARITABLE FOUNDATION","14 Hillbury Road, LONDON","SW17 8JT","Tooting","07973 756871","thejcafoundation@gmail.com","www.ica-is.org.il","31/12/2023","757207","2699709","Registered","CIO","Makes Grants To Organisations","Education/training, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Other Defined Groups","To make grants for education & research.These activities are usually in an agricultural or rural context and often relate to new immigrants to Israel","THE OBJECTS FOR WHICH THE ASSOCIATION IS ESTABLISHED ARE, FOR THE PUBLIC BENEFIT AND IN ANY PART OF THE WORLD: 

A)                      THE RELIEF OF THOSE IN NEED BY REASON OF YOUTH, AGE, ILL HEALTH, DISABILITY, FINANCIAL HARDSHIP OR OTHER DISADVANTAGE; AND

B)                            THE ADVANCEMENT OF EDUCATION; 

WITHIN THE JEWISH COMMUNITY AND WITHIN COMMUNITIES WITH WHICH THE JEWISH COMMUNITY INTERACTS."
"207232","0","Lloyd's of London Foundation","LLOYD'S OF LONDON, LLOYD'S BUILDING, 1 LIME STREET, LONDON","EC3M 7HA","Cities of London and Westminster","020 7327 1000","responsiblebusiness@lloyds.com","https://www.lloyds.com/about-lloyds/responsible-business/community-involvement/lloyds-charities-trust","31/12/2023","769000","1057000","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","Grant making foundation supporting and working in partnership with charitable organisations with a focus on education, employment, skills and disaster relief.","SUCH CHARITABLE OBJECTS OR PURPOSES AS THE TRUSTEES SHALL FROM TIME TO TIME IN THEIR ABSOLUTE DISCRETION DETERMINE"
"207392","0","THE RAYNE TRUST","3 Bromley Place, London","W1T 6DB","Holborn and St Pancras","02074879650","info@raynefoundation.org.uk","http://www.raynefoundation.org.uk/our-work/grantmaking-israel","31/03/2024","914038","1174948","Registered","Charitable company","Makes Grants To Organisations","General Charitable Purposes","Other Charities Or Voluntary Bodies, The General Public/mankind","The Trust's mandate is to understand and engage with the needs of both UK and Israeli society and help address these needs through making grants to support 1) enlarging sympathies, 2) reduced exclusion, 3) reduced conflict in society and 4) new productive relationships.","(A) TO PROMOTE THE WELFARE OF AND TO RELIEVE THE AGED, IMPOTENT AND POOR AND THE RELIEF OF DISTRESS BY SOCIAL AND SPIRITUAL AGENCIES;
(B) MAINTENANCE OF SCHOOLS OF LEARNING, FREE SCHOOLS AND SCHOLARS IN UNIVERSITIES AND THE ADVANCEMENT OF LEARNING GENERALLY;
(C) PRESERVATION OF CHILD LIFE;
(D) RELIEF OF CHILD DISTRESS;
(E) ADVANCEMENT OF RELIGION;
(F) EDUCATION AND PREFERMENT OF ORPHANS;
(G) THE RELIEF STOCK OR MAINTENANCE OF THE HOUSE OF CORRECTION;
(H) THE RELIEF OR REDEMPTION OF PRISONERS OR CAPTIVES. 
(FOR FURTHER DETAILS SEE MEMORANDUM OF ASSOCIATION)"
"207840","0","THE OLD ENFIELD CHARITABLE TRUST","The Old Enfield Charitable Trust, The Old Vestry Office, 22 The Town, Enfield","EN2 6LT","Enfield North","02083678941","bindi@thetrustenfield.org.uk","www.thetrustenfield.org.uk","31/03/2024","657588","625254","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Makes charitable grants to residents of the EN1 EN2 and EN3 in the Borough of Enfield  who are in need.  These grants include education and general grants, together with community grants to local organisations.","PROPOSED NEW OBJECTS CLAUSE:

""THE OBJECTS OF THE CHARITY ARE EXPANDED TO INCLUDE THE AWARDING OF GRANTS TO INDIVIDUALS AND ORGANIZATIONS WITHIN THE FULL POSTCODE AREAS OF EN1, EN2, AND EN3, ONLY IN THE LONDON BOROUGH OF ENFIELD."""
"207996","0","UNIVERSITIES FEDERATION FOR ANIMAL WELFARE","Universities Federation for Animal, WELFARE, The Old School, Brewhouse Hill, Wheathampstead","ST. ALBA","","01582831818","ufaw@ufaw.org.uk","http://www.ufaw.org.uk","31/03/2024","525017","658683","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, Animals","Other Defined Groups","UFAW IS AN INTERNATIONALLY RECOGNISED, INDEPENDENT, SCIENTIFIC AND EDUCATIONAL ANIMAL WELFARE CHARITY. THE ORGANISATION IS CONCERNED WITH PROMOTING HIGH STANDARDS OF WELFARE FOR FARM, COMPANION, LABORATORY AND CAPTIVE WILD ANIMALS, AND FOR THOSE ANIMALS WITH WHICH WE INTERACT IN THE WILD.","(1). TO PREVENT CRUELTY AND PROMOTE HUMANE BEHAVIOUR TOWARDS ALL ANIMALS WHETHER DOMESTIC OR WILD, IN THE UNITED KINGDOM OR ABROAD, SO AS TO REDUCE OR ELIMINATE PAIN, FEAR, SUFFERING, DISTRESS OR LASTING HARM INFLICTED UPON THEM BY HUMANS, AND IN PURSUANCE OF THIS AIM TO ENLIST THE ENERGIES OF MEMBERS OF UNIVERSITIES, PROFESSIONAL MEN AND WOMEN AND ALL OTHERS WHO WORK WITH, ARE RESPONSIBLE FOR, OR THE CARE OF ANIMALS.(2).  TO ENCOURAGE AND PROMOTE, THROUGH THE PROCESS OF EDUCATION, GOOD MANAGEMENT AND HUSBANDRY PRACTICES WHEREBY THE NEEDS OF ANIMALS ARE PROPERLY UNDERSTOOD AND MET, AND, IN ADVANCEMENT THEREOF, TO CONTRIBUTE TO THE STORE OF SCIENTIFIC KNOWLEDGE BY FUNDING AND ENGAGING IN ANIMAL WELFARE RESEARCH AND BY PUBLISHING THE RESULTS THEREOF."
"208291","0","THE LEAGUE OF WORTHING HOSPITALS AND COMMUNITY FRIENDS","Friends of Worthing Hospitals, Worthing Hospital, Lyndhurst Road, WORTHING, West Sussex","BN11 2DH","Worthing West","01903 246175","sally.jackson@friendswh.org.uk","www.friendswh.org.uk","31/12/2023","552619","535078","Registered","Other","Makes Grants To Organisations, Provides Services","The Advancement Of Health Or Saving Of Lives","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","The object of the League is to relieve patients of the Worthing Hospitals and to support the work of the said Hospitals by the provision of medical equipment and facilities for the benefit of patients, staff and visitors. The League runs a shop, a trolley shop and cafe at Worthing Hospital as part of its primary charitable activites.","TO RELIEVE PATIENTS OF THE HOSPITAL(S ) AND OTHER INVALIDS IN THE COMMUNITY WHO ARE SICK AND CONVALESCENT, DISABLED, HANDICAPPED, INFIRM, AND GENERALLY TO SUPPORT THE CHARITABLE WORK OF THE SAID HOSPITAL(S)"
"208554","0","ALLIANCE HOUSE FOUNDATION","c/o CANOPI, 82 TANNER STREET, LONDON","SE1 3GN","Bermondsey and Old Southwark","0208 092 5178","info@alliancehousefoundation.org.uk","https://www.alliancehousefoundation.org.uk/","31/03/2024","760004","1127850","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Other Charitable Purposes","The General Public/mankind","Through charitable activities to support, encourage and promote education concerning the economic, health and social consequences of beverage alcohol use.  Activities include providing grants to other charities, publishing educational material, organizing conferences and seminars and other advocacy initiatives.","TO SPREAD THE PRINCIPLES OF TOTAL ABSTINENCE FROM ALCOHOLIC DRINKS AND TO PROMOTE THE MORAL AND PHYSICAL WELFARE OF THE COMMUNITY; TO PROMOTE THE SCIENTIFIC STUDY OF THE PROPERTIES OF ALCOHOL AND THE EFFECT OF ITS USE UPON THE HUMAN SYSTEM, THE SOCIAL AND MORAL CONSEQUENCES AND THE DISTRIBUTION OF INFORMATION ON THE SUBJECT."
"208797","0","THE FRIENDS OF WELLS CATHEDRAL","FRIENDS OFFICE, WEST CLOISTER, WELLS, SOMERSET","BA5 2PA","Wells and Mendip Hills","01749678830","info@wellsfriends.org","wellsfriends.org","31/12/2024","546664","48226","Registered","Other","Makes Grants To Organisations","Religious Activities, Environment/conservation/heritage","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","Grant making to Cathedral Chapter & Departments.  Membership activities such as talks and outings.","TO SEEK TO CO-OPERATE WITH THE CHAPTER OF THE CATHEDRAL CHURCH OF ST ANDREW IN WELLS AND TO FURTHER THE MISSION AND CHRISTIAN PURPOSE AND TO MAINTAIN THE WORSHIP OF THE CATHEDRAL (FOR FURTHER DETAILS SEE CLAUSE 2 OF THE CONSTITUTION)"
"208877","0","LILIAN FRANCES HIND BEQUEST (TRUSTEES OF LADY HIND)","THE LADY HIND TRUST, PO Box 10455, NOTTINGHAM","NG5 0HR","Gedling","07710639946","ladyhind@btinternet.com","www.ladyhindtrust.org.uk","31/12/2024","519478","529156","Registered","Other","Makes Grants To Organisations","General Charitable Purposes","Other Charities Or Voluntary Bodies","The sole activity of the trust is the giving of grants","CHARITABLE PURPOSES IN ENGLAND AND AT THE DISCRETION OF THE TRUSTEES."
"209212","0","DR RADCLIFFE'S TRUST","The Radcliffe Trust, 6 Trull Farm Buildings, Trull, TETBURY","GL8 8SQ","South Cotswolds","01285841900","radcliffe@thetrustpartnership.com","www.theradcliffetrust.org","31/03/2024","599892","572711","Registered","Other","Makes Grants To Organisations","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Other Charities Or Voluntary Bodies, Other Defined Groups","Making Grants principally for Classical Music Education and Crafts Education, with a limited number of grants in other areas related to education and conservation.   Applicants are advised to look at the website for further information.","THE SUPPORT OF VARIOUS CHARITABLE OBJECTS INCLUDING ST. BARTHOLOMEWS HOSPITAL AND RADCLIFFE SCIENCE LIBRARY OXFORD"
"209397","0","SIR JOHN PRIESTMAN CHARITY TRUST","47 JOHN STREET, SUNDERLAND, TYNE AND WEAR","SR1 1QU","Sunderland Central","01915674857","georgejohnston@mckenzie-bell.co.uk","","31/12/2023","541276","676243","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes","Other Charities Or Voluntary Bodies","The making of donations to any charitable institution for the benefit of any persons inhabitants of the county of durham and in particular of the county borough of sunderland. Building, maintaining and furnishing churches, mission halls and schools in the counties of durham and york.The relief,in necessitous circumunstances, of ministers of the church of england in the counties of durham and york.","(2) GENERAL FUND FOR:- (A) FEEDING POOR OF SUNDERLAND. (B) ANNUITIES FOR AGED & SICK OF THE COUNTY OF DURHAM (C) PROVIDING ASSISTANCE FOR YOUNG MEN FOR HOLY ORDERS IN THE C/E PROVIDED THEY ARE RESIDENT IN CO DURHAM  (D) ESTABLISHMENT & MAINTENANCE OF0 HOSPITALS & CONVALESCENT HOMES FOR POOR OF DURHAM CO., (E) PROVISION OF NURSES IN DURHAM COUNTY. (F) GIFTS TO CHARITABLE INSTITUTIONS. (G)(I) BUILDING & MAINTAINING OF CHURCHES &C. IN DURHAM & YORKS (II) RELIEF TO MINISTERS & CHURCH OFFICERS"
"209448","0","ADDITIONAL CURATES SOCIETY","16 COMMERCIAL STREET, BIRMINGHAM","B1 1RS","Birmingham Ladywood","01213825533","info@additionalcurates.co.uk","www.additionalcurates.co.uk","30/09/2024","508480","545455","Registered","Charitable company","Makes Grants To Organisations","Religious Activities","Other Defined Groups","The additional curates society awards grants to poor and populous parishes, and parishes in new areas, so that they can employ a curate. A work they have been doing since 1837. The society also encourages and fosters vocations to the priesthood.","2.	OBJECTS 
The objects for which the Charity are established are:
2.1	To maintain or assist in the maintenance of additional Clergy in parishes or districts in the provinces of Canterbury, York and Wales (hereinafter called ""the primary object"") and, in so far as the same may properly be done by an association established for charitable purposes only but not otherwise.
2.2	To support or assist in supporting Clergy for poor and populous parishes in the provinces of Canterbury, York and Wales.
2.3	To make annual grants of money towards the maintenance of additional Clergy in those parishes or districts in the provinces of Canterbury, York and Wales which shall appear to be most in need of such assistance.
2.4	To receive any sums of money or investments subscribed or given for the specific purpose of supplying the spiritual wants of a particular parish or district whether such sums be offered from such parish or district or from any other quarter."
